n,query,category,channel,expected,top_5,verdict
1,dharma,skt-core,skt,dharma,dhārma,✅
2,ātman,skt-core,skt,ātman,ātman,✅
3,karman,skt-core,skt,karman,karman,✅
4,agni,skt-core,skt,agni,agni,✅
5,prajñā,skt-core,skt,prajñā,prajñā,✅
6,śūnyatā,skt-core,skt,śūnyatā,śūnyatā,✅
7,bodhicitta,skt-core,skt,bodhicitta,bodhicitta,✅
8,tathāgata,skt-core,skt,tathāgata,tathāgata,✅
9,mokṣa,skt-core,skt,mokṣa,mokṣa,✅
10,saṃskāra,skt-core,skt,saṃskāra,saṃskāra,✅
11,dha,prefix,prefix,dharma | dhātu | dhana,dharaṇa | dhārma | dharmakāya | dhara | dharmaḥ,✅
12,bud,prefix,prefix,buddha | buddhi,buddha | budha | budh | buḍ | buddhi,✅
13,pra,prefix,prefix,prajñā | pratyaya,prajñā | pratyaya | praṇa | prakṛti | prajāpati,✅
14,ana,prefix,prefix,anātman | anitya | ānanda,ananda | anātman | anāhata | āṇatta | anāgāmī,✅
15,mahā,prefix,prefix,mahābhārata | mahāyāna | mahātman,mahā | mahāsattva | mahāyāna | mahābhārata | mahāvākya,✅
16,chos,bo-wylie,bo,chos,chos,✅
17,byang chub sems dpa',bo-wylie,bo,byang chub sems dpa' | bodhisattva,byang chub sems dpa',✅
18,klong chen,bo-wylie,bo,klong chen,klong chen,✅
19,rdo rje,bo-wylie,bo,rdo rje | vajra,rdo rje,✅
20,'jam dpal,bo-wylie,bo,'jam dpal | mañjuśrī,'jam dpal,✅
21,fire,en-reverse,en,agni,pāvaka | agni | vahni | vahni | anala,✅
22,wisdom,en-reverse,en,prajñā | jñāna | buddhi,vidyā | prajñā | prajñā | vidyā | jñāna,✅
23,compassion,en-reverse,en,karuṇā | anukampā | dayā,karuṇā | karuṇā | karuṇā | karuṇā | karuṇā,✅
24,emptiness,en-reverse,en,śūnyatā | śūnya,śūnyatā | śūnyatā | śūnyatā | śūnyatā | śūnyatā,✅
25,liberation,en-reverse,en,mokṣa | mukti,mokṣa | mokṣa | mukti | mokṣa | mukti,✅
26,meditation,en-reverse,en,dhyāna | samādhi,dhyāna | dhyāna | dhyāna | samādhi | samādhi,✅
27,enlightenment,en-reverse,en,bodhi | sambodhi,bodhi | bodhi | bodhi | bodhi | bodhi,✅
28,suffering,en-reverse,en,duḥkha,duḥkha | duḥkha | duḥkha | duḥkha | duḥkha,✅
29,consciousness,en-reverse,en,vijñāna | citta,cetas | citta | saṃjñā | saṃjñā | cetas,✅
30,righteousness,en-reverse,en,dharma,dharma | dharma | dharma | dharma | dharma,✅
31,법,ko-reverse,ko,dharma,dharma | dharma | dharma | dharma | dharma,✅
32,자비,ko-reverse,ko,karuṇā | maitrī,karuṇā | karuṇa | karuṇa | karuṇa | karuṇa,✅
33,지혜,ko-reverse,ko,prajñā | jñāna,prajñā | prajñā | jñāna | jñāna | buddhi,✅
34,도,ko-reverse,ko,mārga | panthan,mārga | mārga | mārga | mārga | mārga,✅
35,불,ko-reverse,ko,agni | buddha,buddha | agni | buddha | buddha | buddha,✅
36,法,zh-reverse,zh,dharma,_1966 dharma; vidhi; bhava | 617290 anga; artha; akara; agama; alambana; karana; krama; guna; dravya; dharama; dharma-jiadna; dharmaté; dharmatva; dharmadeSana; dharman; dharma-naya; dharma-paryaya; dharma-prakrti; dharmamaya; dharma-Sabda; dharma-Sasana; dharma-samjfiaka; dharma-stha; dharma-svabhava; dharmakhya; dharmin; dharmaisgvarya; dharmépavicara; dharmya; dharma; dharmika; dharmya; naya; naya-dharma; paksa; pariskara; -puiija; prakara; prakrti; pratipad; pratisamyukta; prayoga; pravacana; prasangatva; dhana; Sabda; Siksd; samgati; sat; sad-dharma; sthana; 1yk—4> dharma-dhatv-eka-deSa; dharmardha | dharma | dharmaka | vidhāna,✅
37,空,zh-reverse,zh,śūnyatā | śūnya,śūnyatā | antari-kṣa | nabha | vandhya | ākāśa,✅
38,菩薩,zh-reverse,zh,bodhisattva,bodhisattva,✅
39,涅槃,zh-reverse,zh,nirvāṇa,nirvāṇa | 涅槃 | nirvāṇa; nirvṛti; parinirvṛtaḥ; nirvāṇa-(bhūmi~),✅
40,如來,zh-reverse,zh,tathāgata,tathāgataḥ | tathāgata,✅
41,mahābhārata,edge,skt,mahābhārata,mahābhārata,✅
42,jagannātha,edge,skt,jagannātha,jagannātha,✅
43,tat tvam asi,edge,skt,tat | tvam | asi,taṭ | tvaṃ | asī,✅
44,oṃ,edge,skt,oṃ | om,om,✅
45,aham brahmāsmi,edge,skt,aham | brahman | asmi,aham,✅
46,dharmaaa,typo,edge,,(none),✅
47,aaa,typo,edge,,(none),✅
48,   ,typo,edge,,(none),✅
